region,code,forest_area,pop_density,macro_region,area,avg_temp,min_temp,max_temp
Anhui,AH,,436.3,,,,,
Beijing,BJ,,1334,,,,,
Chongqing,CQ,,389,,,,,
Fujian,FJ,,335.7,,,,,
Gansu,GS,,54.7,,,,,
Guangdong,GD,,700,,,,,
Guangxi,GX,,210.8,,,,,
Guizhou,GZ,,218.9,,,,,
Hainan,HI,,294.3,,,,,
Hebei,HE,,393.1,,,,,
Heilongjiang,HL,,67.37,,,,,
Henan,HA,,600.5,,,,,
Hong Kong,HK,,6754,,,,,
Hubei,HB,,310.9,,,,,
Hunan,HN,,313.7,,,,,
Macao,MO,,19736.8,,,,,
Nei mongolia,NM,,20.06,,,,,
Jiangsu,JS,,847.9,,,,,
Jiangxi,JX,,270.7,,,,,
Jilin,JL,,126.5,,,,,
Liaoning,LN,,289.6,,,,,
Ningxia hui,NX,,108.5,,,,,
Qinghai,QH,,8.58,,,,,
Shaanxi,SN,,192.2,,,,,
Shandong,SD,,643.8,,,,,
Shanghai,SH,,3922,,,,,
Shanxi,SX,,222.8,,,,,
Sichuan,SC,,172.9,,,,,
Tianjin,TJ,,1194,,,,,
Xizang,XZ,,3.03,,,,,
Xinjian Uygur,XJ,,15.72,,,,,
Yunnan,YN,,123.2,,,,,
Zhejiang,ZJ,,615.7,,,,,